"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "XML", "SCSS", "Less", "JSON", "Python", "pip requirements", "comment", "blank", "total"
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\glightbox\css\plyr.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\glightbox\js\glightbox.js", "JavaScript", 0, 0, 0, 3066, 0, 0, 0, 0, 0, 0, 0, 590, 3656
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\glightbox\js\glightbox.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\isotope-layout\isotope.pkgd.js", "JavaScript", 0, 0, 0, 2198, 0, 0, 0, 0, 0, 0, 830, 536, 3564
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\isotope-layout\isotope.pkgd.min.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 9, 1, 12
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\php-email-form\validate.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 5, 11, 82
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\purecounter\purecounter_vanilla.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 0, 9
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\remixicon\remixicon.css", "CSS", 0, 0, 2303, 0, 0, 0, 0, 0, 0, 0, 10, 5, 2318
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\remixicon\remixicon.less", "Less", 0, 0, 0, 0, 0, 0, 2305, 0, 0, 0, 10, 5, 2320
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\remixicon\remixicon.svg", "XML", 0, 0, 0, 0, 6825, 0, 0, 0, 0, 0, 10, 1, 6836
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\remixicon\remixicon.symbol.svg", "XML", 0, 0, 0, 0, 11346, 0, 0, 0, 0, 0, 10, 0, 11356
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\swiper\swiper-bundle.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 1, 13
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\swiper\swiper-bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 14
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\css\clean-blog.css", "CSS", 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 8, 57, 413
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\css\clean-blog.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\js\clean-blog.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 5, 42
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\js\clean-blog.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\js\contact_me.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 8, 4, 76
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\js\jqBootstrapValidation.js", "JavaScript", 0, 0, 0, 757, 0, 0, 0, 0, 0, 0, 96, 85, 938
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_bootstrap-overrides.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 3, 28
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_contact.scss", "SCSS", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 3, 59
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_global.scss", "SCSS", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 1, 11, 78
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_masthead.scss", "SCSS", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 2, 1, 83
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 2, 1, 69
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 4, 1, 101
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_post.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 4, 34
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\scss\clean-blog.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 3686, 0, 0, 0, 0, 0, 0, 0, 7, 211, 3904
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 8, 55, 325
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\css\bootstrap.css", "CSS", 0, 0, 9063, 0, 0, 0, 0, 0, 0, 0, 7, 1208, 10278
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 4494, 0, 0, 0, 0, 0, 0, 1364, 1176, 7034
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 0, 3255, 0, 0, 0, 0, 0, 0, 314, 852, 4421
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\fontawesome-free\css\all.css", "CSS", 0, 0, 3070, 0, 0, 0, 0, 0, 0, 0, 6, 1481, 4557
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\fontawesome-free\css\all.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\vendor\fontawesome-free\css\brands.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 2, 16
